title,text,label
"Earth is flat and all space agencies are part of a global deception","Flat earth conspiracy theorists claim that all space agencies including NASA ESA and others are part of a massive conspiracy to hide the true shape of the earth. Satellite imagery GPS technology and countless scientific observations confirm the earth is a sphere.",1
"Quantum internet prototype achieves unhackable communication","Researchers successfully demonstrated a quantum internet prototype that uses quantum encryption to achieve theoretically unhackable communication. The technology leverages quantum entanglement to detect any eavesdropping attempts.",0
"Global warming is hoaxed by scientists for grant money","Climate change deniers claim that scientists fabricate climate data to secure research funding. Multiple independent datasets from different countries and organizations all confirm the same warming trend, making widespread fraud virtually impossible.",1
"Robotic surgery system performs first fully autonomous operation","A next-generation surgical robot successfully performed the first fully autonomous surgery removing a tumor with precision exceeding that of human surgeons. The procedure was monitored by human doctors throughout.",0
"Airplane oxygen masks release sedatives to control passengers","A conspiracy theory claims that airplane oxygen masks deploy chemical sedatives to keep passengers docile during emergencies. Aviation experts confirm oxygen masks provide supplemental oxygen and contain nothing else.",1
"Renewable energy now cheaper than fossil fuels worldwide","International renewable energy cost analysis reveals that solar and wind power are now the cheapest sources of new electricity generation in most countries. The cost of solar energy has dropped by 90 percent over the past decade.",0
"Moon is a hollow alien spacecraft placed in orbit","Conspiracy theorists claim the moon is actually a hollow artificial structure built by aliens and placed in orbit around earth. Seismological data and other scientific evidence conclusively demonstrate that the moon is a natural solid body.",1
"Biodegradable plastic alternative made from seaweed developed","Scientists developed a fully biodegradable plastic alternative made from seaweed that decomposes naturally within weeks. The innovation could significantly reduce ocean plastic pollution and help address the global waste crisis.",0
"Drinking warm water with lemon cures COVID-19 instantly","False claims circulating online suggest that drinking warm water with lemon can cure COVID-19. While staying hydrated is important for general health there is no evidence that any beverage can cure viral infections.",1
"New high-speed rail line cuts travel time between major cities","A newly completed high-speed rail connection reduces travel time between two major metropolitan areas from six hours to just ninety minutes. The project is expected to boost economic development along the corridor.",0
"Smartphone screens emit radiation that controls your thoughts","A false claim suggests that the radiation from smartphone screens can control people thoughts and behavior. Phone screens emit only visible light and low levels of blue light which cannot influence cognitive function.",1
"Ocean temperatures hit record highs threatening marine ecosystems","NOAA scientists reported that ocean surface temperatures reached unprecedented highs this year raising concerns about coral bleaching and disruption of marine food chains. The warming is attributed to climate change and El Nino conditions.",0
"Anti-gravity device invented but suppressed by oil companies","A conspiracy theory claims that working anti-gravity technology exists but is being suppressed by petroleum companies to maintain their dominance. No such technology exists as it would violate fundamental laws of physics.",1
"Neural interface device allows direct brain-to-computer communication","A neurotechnology company successfully tested a brain-computer interface that allows paralyzed patients to control computers using only their thoughts. The device translates neural signals into digital commands with 95 percent accuracy.",0
"Magnetic water can cure all ailments according to pseudoscience","Pseudoscientific claims suggest that magnetized water has special healing properties. Medical scientists confirm that water cannot be magnetized in any meaningful way and drinking magnetic water has no health benefits whatsoever.",1
"Gene editing breakthrough could eliminate hereditary diseases","Scientists achieved a major milestone in CRISPR gene editing successfully correcting genetic mutations responsible for several hereditary conditions in laboratory trials. The technique shows promise for eventually treating diseases like cystic fibrosis.",0
"Secret document reveals earth will be destroyed by asteroids in 2025","Fabricated doomsday claims predict imminent asteroid destruction of earth. NASA planetary defense experts confirm there are no known asteroids on a collision course with earth for at least the next century.",1
"AI-powered early warning system detects wildfires before they spread","A new artificial intelligence system analyzes satellite imagery weather data and ground sensors to predict wildfire risk up to 48 hours before ignition. The system has already been deployed in California and Australia.",0
"Chemtrails contain mind-altering substances says conspiracy theorist","The persistent conspiracy theory claims that airplane contrails contain secret chemicals for mind control. Atmospheric scientists have repeatedly explained that contrails are simply water vapor condensation and pose no health risks.",1
"Carbon capture technology removes millions of tons of CO2 from atmosphere","A breakthrough carbon capture facility demonstrated the ability to remove 4 million tons of CO2 from the atmosphere annually. The technology uses direct air capture and mineral storage to permanently sequester greenhouse gases.",0
"Government controlling weather through HAARP conspiracy theory exposed","Conspiracy theorists claim the HAARP research facility in Alaska can control weather patterns worldwide. Scientists explain that HAARP is a research tool for studying the ionosphere and has no ability to control or manipulate weather.",1
"Worldwide literacy rates reach highest levels in human history","UNESCO reported that global literacy rates have reached their highest levels ever with over 87 percent of adults now able to read and write. Significant improvements were noted in developing regions particularly among women.",0
"Instant manifestation technique proves Law of Attraction works","A viral video claims that a secret technique can make you instantly manifest any desire you want. This pseudoscientific concept has no basis in physics or any other branch of science and is purely wishful thinking.",1
"Smart grid technology revolutionizes energy distribution","A new smart grid system uses AI and IoT sensors to optimize electricity distribution reducing energy waste by 25 percent. The technology automatically balances supply and demand across the entire electrical network.",0
"Dead celebrities are still alive living in secret underground cities","A bizarre conspiracy theory claims that famous deceased individuals are actually alive and living in underground cities. There is no evidence whatsoever to support this claim and it contradicts well-documented mortality records.",1
"Desalination breakthrough provides affordable clean water for millions","Engineers developed a new desalination membrane that purifies seawater at one tenth the cost of current technology. The innovation could help address the global water crisis affecting billions of people in arid regions.",0
"Moon is made of cheese claims ancient manuscript authenticity questioned","An obviously false claim suggests that recently discovered ancient texts prove the moon is made of cheese. The moon composition is well established through geological analysis of moon rocks returned by Apollo missions.",1
"Electric cars now outperform gasoline vehicles in every category","New electric vehicle models demonstrate superior performance in range acceleration and total cost of ownership compared to traditional gasoline vehicles. Industry analysts predict electric vehicles will dominate sales by 2028.",0
"Hollow moon theory claims moon is artificial alien construct","Conspiracy theorists point to certain lunar features as evidence that the moon is an artificial structure built by an advanced alien civilization. Seismic data and geological analysis confirm the moon is a naturally occurring celestial body.",1
"Personalized medicine revolution promises targeted cancer treatments","Advances in genomic sequencing and AI analysis enable doctors to create highly personalized cancer treatment plans based on individual tumor genetics. Early results show improved survival rates for previously hard-to-treat cancers.",0
"Bigfoot sightings prove ancient species still roams forests","Despite decades of claimed sightings there is no verified scientific evidence that Bigfoot or any similar creature exists. All purported evidence has been debunked as hoaxes misidentification or optical illusions.",1
"Wireless charging technology powers devices across entire rooms","A new wireless charging system can power electronic devices throughout an entire room without any physical connection. The technology uses focused radio waves to deliver targeted energy to compatible devices.",0
"Chemical trails from planes cause crop failure worldwide","Conspiracy theorists claim that chemicals deliberately sprayed from airplanes are responsible for crop failures around the world. Agricultural scientists attribute crop variations to weather patterns pests and farming practices not aerial spraying.",1
"Lab-grown meat receives full regulatory approval for commercial sale","Regulatory authorities granted full commercial approval for cell-cultured meat products. The lab-grown meat industry claims its products use 95 percent less land and 78 percent less water than traditional livestock farming.",0
"Governments hiding evidence of underwater alien bases","A conspiracy theory claims that governments are concealing evidence of alien bases located on the ocean floor. No credible evidence supports this claim and ocean exploration data is freely available to the scientific community.",1
"Self-healing concrete could save billions in infrastructure costs","Scientists developed a self-healing concrete that uses embedded bacteria to automatically repair cracks. The innovation could dramatically reduce infrastructure maintenance costs and extend the lifespan of buildings and bridges.",0
"Holographic moon projection theory gains online traction","A baseless theory claims that the moon is actually a holographic projection rather than a physical object. This claim contradicts centuries of astronomical observation and the physical evidence from lunar exploration missions.",1
"CRISPR technology enables creation of disease-resistant crops","Agricultural scientists used CRISPR gene editing to develop crop varieties resistant to major diseases including wheat blight and rice blast. The modified crops show up to 60 percent higher yields in disease-prone environments.",0
"Solar flares will destroy all electronics in major conspiracy claim","Alarmist claims suggest that an upcoming solar flare will destroy all electronic devices worldwide. Space weather experts confirm that while solar flares can affect some technology modern power grids and electronics have appropriate shielding.",1
"Advanced prosthetic limbs restore near-natural movement for amputees","A robotics company unveiled a next-generation prosthetic limb that uses neural interfaces to restore near-natural movement and sensation. Users report the prosthetic feels almost identical to a biological limb.",0
"All airplane crashes are secretly orchestrated by the CIA","An extreme conspiracy theory claims that airplane crashes are deliberately orchestrated by intelligence agencies. Aviation safety authorities investigate every crash thoroughly and accidents are attributed to mechanical failures human error or weather.",1
"New battery technology promises week-long smartphone charge","Researchers developed a solid-state battery that can power a smartphone for up to one week on a single charge. The technology uses a novel lithium-sulfur chemistry that offers five times the energy density of current batteries.",0
"NASA secretly communicating with aliens on other planets","A conspiracy theory claims that NASA has established contact with alien civilizations but is keeping it secret. NASA operates transparently and any confirmed detection of extraterrestrial intelligence would be one of the biggest discoveries in human history.",1
"Vertical farming solves urban food security challenges","A new vertical farming system produces fresh vegetables year-round using 95 percent less water than conventional agriculture. The compact modular farms can be installed in urban buildings providing locally grown food to city residents.",0
" fluoride causes mass hypnosis and mind control","An unfounded claim suggests that fluoride added to water supplies causes mass hypnosis. Extensive toxicological studies confirm that fluoride at recommended levels is safe and effective for preventing tooth decay with no neurological effects.",1
"Neuromorphic chips mimic brain function for ultra-efficient computing","Intel and IBM announced neuromorphic computing chips that mimic the structure and function of biological neurons. The chips consume 1000 times less energy than traditional processors for certain AI workloads.",0
"Chemtrails are weaponized for population control conspiracy","A persistent conspiracy theory claims that airplane trails contain harmful chemicals deliberately dispersed for population control. Scientific analysis of air and water samples consistently shows no evidence of any such chemical weapons.",1
"Deep ocean mining could provide unlimited clean energy source","Scientists discovered massive deposits of rare earth minerals on the deep ocean floor that could be used to build next-generation batteries and clean energy technology. Environmental concerns about deep sea mining remain significant.",0
"Flat earth documentary proves conspiracy through flawed logic","A conspiracy documentary claims to prove the earth is flat using selectively presented observations and flawed physics. Every claim in the documentary has been thoroughly debunked by scientists using rigorous experimental methods.",1
"Solid-state batteries eliminate electric vehicle range anxiety","A major breakthrough in solid-state battery technology promises electric vehicles with 1000 mile range and 5 minute charging times. Multiple automakers plan to incorporate the technology in vehicles within the next three years.",0
"Fake moon landing evidence fabricated by conspiracy group","Conspiracy theorists claim to have found new evidence that the moon landings were faked. Space agencies worldwide and independent experts have thoroughly examined all such claims and found them to be based on misunderstandings of photography and physics.",1
"Smart cities initiative improves quality of life for residents","A major city implemented a comprehensive smart city system using IoT sensors AI analytics and digital services. The initiative has reduced traffic congestion by 30 percent improved air quality and enhanced public safety.",0
"Every disease can be cured by eating only raw vegetables claims","An extreme dietary claim suggests that eating only raw vegetables can cure every known disease. Medical professionals warn that while a balanced diet rich in vegetables is healthy exclusive raw food diets can lead to nutritional deficiencies.",1
"Advanced materials enable construction of earthquake-proof buildings","Engineers developed new metamaterials that can redirect seismic waves around buildings making structures virtually earthquake-proof. The technology has been successfully tested in earthquake simulation facilities.",0
"Conspiracy theory claims all clouds are actually holographic projections","An absurd conspiracy theory suggests that clouds are actually holographic projections created by governments. Meteorologists explain that clouds form naturally through water vapor condensation following well-understood atmospheric physics.",1
"Precision agriculture uses drones to optimize crop production","Farmers are increasingly using AI-powered drones to monitor crop health optimize irrigation and precisely apply fertilizers. The technology has reduced water usage by 30 percent and increased crop yields by 20 percent.",0
"Media fabricated pandemic to control population says conspiracy theorist","Despite overwhelming scientific evidence of a global pandemic conspiracy theorists claim the health crisis was fabricated. Millions of independently verified cases and deaths worldwide confirm the pandemic was real.",1
WHO approves new malaria vaccine for distribution in Africa,The World Health Organization gave prequalification approval for a new malaria vaccine developed by the University of Oxford. The vaccine showed 75 percent efficacy in clinical trials involving thousands of children across multiple African countries.,0
CDC reports significant decline in influenza cases this season,The Centers for Disease Control and Prevention reported that influenza cases dropped by 40 percent compared to previous seasons due to high vaccination uptake and continued public health measures across the United States.,0
FDA approves breakthrough gene therapy for inherited blindness,The U.S. Food and Drug Administration approved a new gene therapy treatment that restores vision in patients with a rare inherited form of blindness. Clinical trials showed improvement in 93 percent of treated patients.,0
WHO declares global health emergency officially over,The World Health Organization officially declared the end of the global health emergency stating that the pandemic no longer constitutes a public health emergency of international concern after thorough scientific review.,0
Pfizer announces positive results for new heart disease drug,Pharmaceutical company Pfizer announced that its new cardiovascular drug reduced the risk of heart attack by 35 percent in a large-scale Phase 3 clinical trial involving over 20000 patients worldwide.,0
Hospitals report record low patient admissions this quarter,Major hospital networks across the country reported a significant decrease in emergency room visits and patient admissions this quarter attributed to effective public health campaigns and improved preventive care.,0
New malaria treatment approved for use in developing nations,The World Health Organization endorsed a new artemisinin-based combination therapy for treating malaria in developing countries. The treatment costs less than two dollars per course and has shown a 98 percent cure rate.,0
Indian Space Research Organisation launches weather satellite,ISRO successfully launched a advanced meteorological satellite into geostationary orbit to improve weather forecasting accuracy and early warning capabilities for natural disasters across South Asia.,0
European Medicines Agency approves new diabetes medication,The European Medicines Agency granted marketing authorization for a novel diabetes treatment that helps patients manage blood sugar levels more effectively with fewer side effects than existing medications.,0
Universities report breakthrough in Alzheimer disease research,Researchers at Johns Hopkins University published findings showing that a new drug candidate reduced amyloid plaque buildup in Alzheimer patients by 60 percent and improved cognitive test scores in early-stage patients.,0
